"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"1","0.000000000","192.168.19.82","192.168.19.187","","","DNS","","207",""
"2","0.517464000","170.72.239.181","192.168.19.187","443","51452","TCP","","54","0x0010"
"3","0.890051000","","","54495","443","TCP","","75","0x0010"
"4","0.926725000","3.217.166.173","192.168.19.187","443","54272","TCP","","54","0x0010"
"5","0.926780000","192.168.19.187","3.217.166.173","54272","443","TCP","","54","0x0010"
"6","1.134117000","","","443","54495","TCP","","86","0x0010"
"7","2.093963000","192.168.19.187","192.168.19.82","","","DNS","","74",""
"8","2.094229000","192.168.19.187","192.168.19.82","","","DNS","","74",""
"9","2.146507000","192.168.19.82","192.168.19.187","","","DNS","","180",""
"10","2.146507000","192.168.19.82","192.168.19.187","","","DNS","","206",""
"11","2.147905000","192.168.19.187","23.223.244.82","54520","443","TCP","","66","0x0002"
"12","2.348872000","23.223.244.82","192.168.19.187","443","54520","TCP","","66","0x0012"
"13","2.349097000","192.168.19.187","23.223.244.82","54520","443","TCP","","54","0x0010"
"14","2.351663000","192.168.19.187","23.223.244.82","54520","443","TLSv1","","649","0x0018"
"15","2.553764000","23.223.244.82","192.168.19.187","443","54520","TCP","","54","0x0010"
"16","2.553930000","23.223.244.82","192.168.19.187","443","54520","TLSv1.3","","318","0x0018"
"17","2.554159000","192.168.19.187","23.223.244.82","54520","443","TCP","","54","0x0010"
"18","2.556834000","192.168.19.187","23.223.244.82","54520","443","TLSv1.3","","134","0x0018"
"19","2.564256000","192.168.19.187","23.223.244.82","54520","443","TLSv1.3","","134","0x0018"
"20","2.570904000","192.168.19.187","23.223.244.82","54520","443","TLSv1.3","","2109","0x0018"
