"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"2","0.000035000","","","","","ARP","","42",""
"3","0.107413000","","","","","ICMPv6","","86",""
"4","0.107523000","","","","","ICMPv6","","86",""
"5","0.125670000","","","","","ICMPv6","","86",""
"6","0.125721000","","","","","ICMPv6","","86",""
"7","0.147050000","","","","","ICMPv6","","86",""
"8","0.147116000","","","","","ICMPv6","","86",""
"9","0.895285000","13.89.179.10","192.168.1.5","443","53903","TCP","","54","0x0010"
"10","0.895420000","192.168.1.5","13.89.179.10","53903","443","TCP","","54","0x0010"
"11","1.112653000","13.89.179.10","192.168.1.5","443","53903","TCP","","54","0x0010"
"12","1.146380000","","","443","53508","TLSv1.2","","101","0x0018"
"13","1.189253000","","","53508","443","TCP","","74","0x0010"
"14","1.236364000","192.168.1.5","208.115.231.94","53461","443","TCP","","55","0x0010"
"15","1.388854000","208.115.231.94","192.168.1.5","443","53461","TCP","","66","0x0010"
"16","3.460052000","192.168.1.5","20.189.173.5","53943","443","TCP","","66","0x0002"
"17","3.703024000","20.189.173.5","192.168.1.5","443","53943","TCP","","66","0x0012"
"18","3.703265000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
"19","3.706892000","192.168.1.5","20.189.173.5","53943","443","TLSv1","","445","0x0018"
"20","4.001343000","20.189.173.5","192.168.1.5","443","53943","TCP","","54","0x0010"
"21","4.035702000","20.189.173.5","192.168.1.5","443","53943","TLSv1.3","","153","0x0018"
"22","4.035829000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
"23","4.047684000","192.168.1.5","20.189.173.5","53943","443","TLSv1.3","","516","0x0018"
"24","4.151563000","210.148.85.30","192.168.1.5","80","53939","TCP","","54","0x0010"
"25","4.151628000","192.168.1.5","210.148.85.30","53939","80","TCP","","54","0x0010"
"26","4.282738000","20.189.173.5","192.168.1.5","443","53943","TLSv1.3","","1466","0x0010"
"27","4.282738000","20.189.173.5","192.168.1.5","443","53943","TCP","","1466","0x0010"
"28","4.282738000","20.189.173.5","192.168.1.5","443","53943","TCP","","1466","0x0010"
"29","4.282738000","20.189.173.5","192.168.1.5","443","53943","TCP","","1466","0x0010"
"30","4.282738000","20.189.173.5","192.168.1.5","443","53943","TLSv1.3","","792","0x0018"
"31","4.283101000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
"32","4.283227000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
"33","4.283272000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
